# Playlist of favorite playlists for SimCaster Easy Streaming TV and Spherical Theater
#
# Contributions by SL residents Doc Rae & Missy Restless
#
# Format:
# Button Name|Youtube Video Name|YourTubeURL
# Example format:
# Immersive Experience | Immersive Experience - Mecca of Ancient Astronomy | https://youtu.be/oDP3arqFj7c
Animation | Animation | https://youtube.com/playlist?list=PLh3A0cnoWYswDXQzIV_OlAoI1a-mFfuXw&si=i5KBHFkTBUvGey1k
Bomba Estéreo | Bomba Estéreo | https://youtube.com/playlist?list=PLh3A0cnoWYsx1FV73908msCq4k-IKTnhr&si=FmvjJ98q4-xOHj9C
Bowie | David Bowie | https://youtube.com/playlist?list=PLh3A0cnoWYsz3VA1yyE2Qyn_R17vnyQFw&si=pDk8YAHNXY3CL6Y7
Britney Plus | Britney Spears and Friends | https://youtube.com/playlist?list=PLh3A0cnoWYsyOImFMxfMldJFql9YRFUxZ&si=zH3VP-8s5IYFHRuJ
CAKE | Cake | https://youtube.com/playlist?list=PL575DFB88A40C099F&si=DHxdrktsw2Vd1itG
ELO | ELO | https://youtube.com/playlist?list=PLh3A0cnoWYsyb3QOvDf5Ui_xQSBVWs5Vs&si=qKhmOR2WTshU54TS
EV Warning | Evanescence & The Warning | https://youtube.com/playlist?list=PLh3A0cnoWYszb7E_AKH6BO8TgH4uegVMi&si=LczOgWQPrZV4kORE
FJM | Father John Misty | https://youtube.com/playlist?list=PLh3A0cnoWYsyG8eTS9UWMWmy-E8XHcqii&si=niMWqG-CW7B67hcw
Girls | Girls | https://youtube.com/playlist?list=PLeUc4oWn7RNkC93HQVLFq0k49d6UhYtOZ&si=-Rz-7aigkaF2TDdX
Gorillaz | Gorillaz | https://youtube.com/playlist?list=PLh3A0cnoWYsxIjrBQu-a30mi7MdzkjPwO&si=CDsZJvTIECdC5VNE
Green Day | Green Day | https://youtube.com/playlist?list=PLeUc4oWn7RNmDI3t29vHQjdI6C3q9TpP-&si=v3B11jHIMfW_ux0a
Jellyfish | Jellyfish | https://youtube.com/playlist?list=PLh3A0cnoWYswOiXdtJgYc04kmjI7NHBN0&si=KVGyMp409FMJVnUX
Kat DeLuna | Kat DeLuna | https://youtube.com/playlist?list=PLh3A0cnoWYsw_ySbsw7tLoy6K9XO1z3B2&si=XY4YrOIQYFy5-ZLR
Killers | The Killers | https://youtube.com/playlist?list=PLeUc4oWn7RNljaw8j7Cu8-G1SBp9RuFWB&si=80gcB0FrInZEUFCX
LSD | LSD | https://youtube.com/playlist?list=PLTu_mo3y42N3OZ9y9C7FeWFWeaqCTJK56&si=k5ATWPaAdrqGjRKo
Marcy | Marcy Playground | https://youtube.com/playlist?list=PL06B1DE0E0C8DAA90&si=wxAeFaswjH-_RXdM
Metric | Metric | https://youtube.com/playlist?list=PLh3A0cnoWYsyf6jZ48lDhLSpGUThoba5r&si=4K2z6QzFMy6vfzN4
Miley | Miley Cyrus Covers | https://youtube.com/playlist?list=PLh3A0cnoWYszgf0WOCdF-xghoPaWSi3M3&si=YrGu-UleDxM-0T7B
Missy | Missy Restless Favs | https://youtube.com/playlist?list=PL1D23B5A6ABF677BA&si=blXQmkz97uo9tWjr
Muse | Muse | https://youtube.com/playlist?list=PL48ED85D54606D0B8&si=2SW_H-DvoY_-V-Pr
Organ | Organ Performances | https://youtube.com/playlist?list=PLh3A0cnoWYsyUfI2QWhYD6AfUbZluU4xy&si=6LIbjyw0kUIcbbeS
PATD | Panic! At The Disco | https://youtube.com/playlist?list=PLeUc4oWn7RNl54Wz_dT3Td3vxMQkDu7kj&si=S3l9EXPAUUbO90KH
Polo & Pan | Polo & Pan | https://youtube.com/playlist?list=PLh3A0cnoWYsxV1_GfD1neSbK8VkHHNY_e&si=YKuZqL4mv1D2C0hL
QOTSA | Queens of the Stone Age | https://youtube.com/playlist?list=PLh3A0cnoWYsygnJNOzlWCXlxJ9D5icGBa&si=v1x3mjur1bLEWtCd
SOFI TUKKER | SOFI TUKKER | https://youtube.com/playlist?list=PLh3A0cnoWYsynpR9bhDtDzpd8iYRXZulp&si=ew8wH1vb52fPvOqN
DJ SOFI TUKKER | SOFI TUCKER Live DJ Sets | https://youtube.com/playlist?list=PLeUc4oWn7RNn1AJIhr_xjvGUS7yWXIDfI&si=N9BDNkMW9oukKNap
Weyes Blood | Weyes Blood | https://youtube.com/playlist?list=PLh3A0cnoWYswpP_E34uPOf88zz-QPmaUg&si=cUPzkGI0KkPsHE67
