# Playlist of playlists for SimCaster Easy Streaming TV and Spherical Theater
#
# Contributions by SL residents Doc Rae & Missy Restless
#
# Format:
# Button Name|Youtube Video Name|YourTubeURL
# Example format:
# Immersive Experience | Immersive Experience - Mecca of Ancient Astronomy | https://youtu.be/oDP3arqFj7c
ABBA | ABBA | https://youtube.com/playlist?list=PLh3A0cnoWYsxsN-N7ZIXusvHnUm7J89c8&si=-GBP6MNYxz7cwsG9
Animation | Animation | https://youtube.com/playlist?list=PLh3A0cnoWYswDXQzIV_OlAoI1a-mFfuXw&si=i5KBHFkTBUvGey1k
Anti-Idol | Anti-Idol | https://youtube.com/playlist?list=PLYmkYq5hhTi3w11edGT_JmHXBalcWYN8d&si=wz1YKDhBDkHB-Nzp
BABYMETAL | BABYMETAL | https://youtube.com/playlist?list=PLh3A0cnoWYszqUEL3AH0J9F4aIOTi4DAl&si=T9O13Hnf4l7C7zn3
Bad Religion | Bad Religion | https://www.youtube.com/watch?v=v-D-fn-Z04w&list=PLn3jR-qEn33IN2FRuVGRbEQfud45Dq6Th
Beatles | The Beatles | https://youtube.com/playlist?list=PLh3A0cnoWYszUQFlx6TnS816ubFRFugqV&si=m9QGrMN_Toe2eAio
Beck | Beck | https://youtube.com/playlist?list=PLh3A0cnoWYswXl8rCQeVbSGzKKC44AxLh&si=dtlYvPe9GGOr7JZX
Bomba Estéreo | Bomba Estéreo | https://youtube.com/playlist?list=PLh3A0cnoWYsx1FV73908msCq4k-IKTnhr&si=FmvjJ98q4-xOHj9C
Bowie | David Bowie | https://youtube.com/playlist?list=PLh3A0cnoWYsz3VA1yyE2Qyn_R17vnyQFw&si=pDk8YAHNXY3CL6Y7
Britney Plus | Britney Spears and Friends | https://youtube.com/playlist?list=PLh3A0cnoWYsyOImFMxfMldJFql9YRFUxZ&si=zH3VP-8s5IYFHRuJ
CAKE | Cake | https://youtube.com/playlist?list=PL575DFB88A40C099F&si=DHxdrktsw2Vd1itG
Concerts | Full live concert performances | https://youtube.com/playlist?list=PLh3A0cnoWYsyO6gzfQ-3O_SqPH3nc899G&si=cNE3DGgr7OPHlTYj
The Coral | The Coral | https://youtube.com/playlist?list=PLh3A0cnoWYsyTiT0OJsn5vSbiUOIyL3Pw&si=87ryFrhTIH-c-Fp1
# Age restricted YouTube videos will not play except on YouTube
# Dancing | Dancing | https://youtube.com/playlist?list=PLh3A0cnoWYszYfEAw673Grr9HuVvb8Uxh&si=uTLl1PoExQk1gFp5
